case_id,mask_path,status,csv_rows_count,unique_mask_ids_count,mapped_ids_count,missing_ids_count,out_of_bounds_count,background_hit_count,native_hit_count,flipped_xy_hit_count,local_search_hit_count,matched_instance_ids,missing_instance_ids,json_path,error_message
1_2_840_113654_2_55_123960772011238650655784992516167324470,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_123960772011238650655784992516167324470.nii.gz,success,2,2,2,0,0,0,0,2,0,1 2,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_123960772011238650655784992516167324470.json,
1_2_840_113654_2_55_124286123499146096595750558038410008142,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_124286123499146096595750558038410008142.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_124286123499146096595750558038410008142.json,
1_2_840_113654_2_55_124316354708127011546635034574958644867,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_124316354708127011546635034574958644867.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_124316354708127011546635034574958644867.json,
1_2_840_113654_2_55_125323894317801323393034030951049985428,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_125323894317801323393034030951049985428.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_125323894317801323393034030951049985428.json,
1_2_840_113654_2_55_125706016793706103279028904143338049013,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_125706016793706103279028904143338049013.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_125706016793706103279028904143338049013.json,
1_2_840_113654_2_55_125967255397946625657445920520578003358,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_125967255397946625657445920520578003358.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_125967255397946625657445920520578003358.json,
1_2_840_113654_2_55_126025143337981382099444331950519455721,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_126025143337981382099444331950519455721.nii.gz,success,2,2,2,0,0,0,0,2,0,1 2,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_126025143337981382099444331950519455721.json,
1_2_840_113654_2_55_126332618375778172122402758900126972090,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_126332618375778172122402758900126972090.nii.gz,success,4,4,4,0,0,0,0,4,0,1 2 3 4,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_126332618375778172122402758900126972090.json,
1_2_840_113654_2_55_127879144346398409265232271695834549106,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_127879144346398409265232271695834549106.nii.gz,success,2,2,1,1,0,1,0,1,0,1,2,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_127879144346398409265232271695834549106.json,
1_2_840_113654_2_55_129161505341392235846954602699118176295,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_129161505341392235846954602699118176295.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_129161505341392235846954602699118176295.json,
1_2_840_113654_2_55_129820836134168520293053926064840747893,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_129820836134168520293053926064840747893.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_129820836134168520293053926064840747893.json,
1_2_840_113654_2_55_130959870177882550833372599207391324754,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_130959870177882550833372599207391324754.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_130959870177882550833372599207391324754.json,
1_2_840_113654_2_55_131182843460591053470642964280930525876,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_131182843460591053470642964280930525876.nii.gz,success,1,1,0,1,0,1,0,0,0,,1,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_131182843460591053470642964280930525876.json,
1_2_840_113654_2_55_132358487950471900816106640431982443058,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_132358487950471900816106640431982443058.nii.gz,success,6,6,6,0,0,0,0,6,0,1 2 3 4 5 6,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_132358487950471900816106640431982443058.json,
1_2_840_113654_2_55_133386609493277240203927332124127709601,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_133386609493277240203927332124127709601.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_133386609493277240203927332124127709601.json,
1_2_840_113654_2_55_134024114388787757910282842888052778016,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_134024114388787757910282842888052778016.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_134024114388787757910282842888052778016.json,
1_2_840_113654_2_55_134499607175505455351765902761934752797,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_134499607175505455351765902761934752797.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_134499607175505455351765902761934752797.json,
1_2_840_113654_2_55_135312532800636306422912105667791824180,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_135312532800636306422912105667791824180.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_135312532800636306422912105667791824180.json,
1_2_840_113654_2_55_13672741274082781122803247687004381644,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_13672741274082781122803247687004381644.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_13672741274082781122803247687004381644.json,
1_2_840_113654_2_55_137382376247834148877139165085017402902,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_137382376247834148877139165085017402902.nii.gz,success,2,2,2,0,0,0,0,2,0,1 2,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_137382376247834148877139165085017402902.json,
1_2_840_113654_2_55_138251616007580958154095830375360681604,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_138251616007580958154095830375360681604.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_138251616007580958154095830375360681604.json,
1_2_840_113654_2_55_13888860204574812547050871869444284311,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_13888860204574812547050871869444284311.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_13888860204574812547050871869444284311.json,
1_2_840_113654_2_55_139492020071869573847824235612903155692,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_139492020071869573847824235612903155692.nii.gz,success,2,2,2,0,0,0,0,2,0,1 2,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_139492020071869573847824235612903155692.json,
1_2_840_113654_2_55_139643264962705498172562651504603085682,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_139643264962705498172562651504603085682.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_139643264962705498172562651504603085682.json,
1_2_840_113654_2_55_139877954807849690394145592793122974359,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_139877954807849690394145592793122974359.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_139877954807849690394145592793122974359.json,
1_2_840_113654_2_55_14059028299195631370217959879698398394,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_14059028299195631370217959879698398394.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_14059028299195631370217959879698398394.json,
1_2_840_113654_2_55_141751942912405516148110040638470627452,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_141751942912405516148110040638470627452.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_141751942912405516148110040638470627452.json,
1_2_840_113654_2_55_14354832218744395267379933627003726284,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_14354832218744395267379933627003726284.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_14354832218744395267379933627003726284.json,
1_2_840_113654_2_55_143932896674595872447705412905458706342,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_143932896674595872447705412905458706342.nii.gz,success,3,3,3,0,0,0,0,3,0,1 2 3,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_143932896674595872447705412905458706342.json,
1_2_840_113654_2_55_144103101403679187356731683959120015322,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_144103101403679187356731683959120015322.nii.gz,success,1,1,1,0,0,0,0,1,0,1,,/opt/data/beegfs/Task023_LUNA25/raw_splitted/labelsTs/1_2_840_113654_2_55_144103101403679187356731683959120015322.json,
